pensioner_id,age,life_proof_delay,bank_activity_count,biometric_status,historical_approval_rate,pension_credit_anomaly,eligibility_label
PNS-00073,60.64,12.82,6,1,0.8652,0,1
PNS-00074,71.98,20.7,4,1,0.7394,0,1
PNS-00075,69.14,0.57,9,1,0.7939,0,1
PNS-00076,73.52,13.88,6,0,0.9371,0,0
PNS-00077,64.58,30.31,9,1,0.9079,0,1
PNS-00078,69.27,7.86,8,0,0.9325,0,1
PNS-00079,73.0,3.44,9,1,0.5993,0,1
PNS-00080,65.53,6.84,7,1,0.6227,0,1
PNS-00081,71.65,64.89,10,1,0.9094,0,1
PNS-00082,62.7,7.99,10,1,0.8208,0,1
PNS-00083,65.1,4.94,7,1,0.6224,0,1
PNS-00084,64.95,2.13,10,1,0.7962,0,1
PNS-00085,58.43,11.88,3,1,0.8155,0,1
PNS-00086,71.9,6.59,5,1,0.836,1,0
PNS-00087,64.24,28.53,9,1,0.9601,0,1
PNS-00088,68.1,20.61,8,0,0.7483,0,0
PNS-00089,71.85,41.31,4,1,0.5856,0,1
PNS-00090,71.57,0.22,12,1,0.7651,1,1
PNS-00091,73.32,77.08,10,1,0.7473,0,1
PNS-00092,67.21,7.32,7,1,0.8631,1,1
PNS-00093,64.61,46.28,9,1,0.7716,0,1
PNS-00094,67.36,3.24,9,1,0.9406,0,1
PNS-00095,66.08,3.82,8,1,0.6973,0,1
PNS-00096,56.42,2.86,9,1,0.5772,1,0
PNS-00097,57.42,7.31,6,1,0.6062,0,1
PNS-00098,60.02,17.45,6,0,0.7582,0,0
PNS-00099,71.2,16.11,7,1,0.9122,1,1
PNS-00100,60.76,15.9,9,1,0.7776,0,1
PNS-00101,64.97,5.49,11,1,0.9176,0,1
PNS-00102,78.39,22.71,8,1,0.7723,1,1
PNS-00103,65.15,9.78,3,1,0.9325,0,1
PNS-00104,73.9,6.99,7,1,0.7642,0,1
PNS-00105,60.53,8.6,7,1,0.8939,0,1
PNS-00106,66.36,0.79,12,1,0.5929,1,1
PNS-00107,60.4,24.28,7,1,0.3343,0,1
PNS-00108,65.29,32.45,9,1,0.8696,0,1
PNS-00109,74.72,17.73,11,0,0.9493,0,1
PNS-00110,59.27,3.38,6,1,0.9881,0,1
PNS-00111,71.48,2.04,11,0,0.8095,0,1
PNS-00112,69.9,24.02,9,1,0.9302,0,1
PNS-00113,63.25,0.11,10,1,0.8257,0,1
PNS-00114,56.43,10.01,6,1,0.8029,0,1
PNS-00115,68.58,42.96,17,1,0.7013,0,1
PNS-00116,63.76,29.22,11,1,0.7747,1,0
PNS-00117,69.86,3.62,11,0,0.7755,0,1
PNS-00118,68.17,3.51,14,0,0.8147,0,1
PNS-00119,80.81,11.83,11,1,0.9661,0,1
PNS-00120,66.09,4.02,5,1,0.886,0,1
PNS-00121,59.81,0.65,5,1,0.5821,0,1
PNS-00122,69.43,4.5,5,1,0.8905,0,1
PNS-00123,69.76,0.6,10,1,0.4525,0,1
PNS-00124,78.87,5.31,5,1,0.9085,0,1
PNS-00125,74.68,19.39,10,1,0.6261,0,1
PNS-00126,70.85,5.66,9,1,0.8143,0,1
PNS-00127,79.71,29.2,12,1,0.8658,0,1
PNS-00128,58.49,10.48,12,1,0.5876,0,1
PNS-00129,62.88,12.57,5,1,0.7237,0,1
PNS-00130,60.59,0.35,8,1,0.868,0,1
PNS-00131,64.88,0.01,10,1,0.7843,0,1
PNS-00132,56.99,0.65,7,1,0.9048,0,1
PNS-00133,73.08,29.74,3,1,0.825,0,1
PNS-00134,66.22,32.6,5,0,0.9032,0,0
PNS-00135,56.23,50.44,7,0,0.8339,0,0
PNS-00136,59.88,78.16,10,1,0.6896,0,1
PNS-00137,70.51,11.77,7,1,0.9184,0,1
PNS-00138,74.71,4.38,5,1,0.8665,0,1
PNS-00139,83.97,23.54,8,1,0.8385,0,1
PNS-00140,69.35,7.36,10,1,0.8993,1,1
PNS-00141,71.32,4.23,6,1,0.7203,0,1
PNS-00142,60.08,0.47,7,1,0.641,0,1
PNS-00143,59.97,2.92,6,1,0.9499,0,1
PNS-00144,70.14,9.8,11,1,0.7378,0,1
PNS-00145,61.5,5.99,3,1,0.8784,0,1
PNS-00146,64.68,26.57,9,1,0.9136,0,1
PNS-00147,63.1,18.46,10,1,0.6918,0,1
PNS-00148,66.87,4.03,10,1,0.8907,0,1
PNS-00149,76.53,14.0,9,1,0.9196,0,1
PNS-00150,69.26,10.84,10,1,0.8241,0,1
PNS-00151,66.73,14.52,6,1,0.6757,0,1
PNS-00152,59.71,4.14,7,1,0.7616,0,1
PNS-00153,56.02,2.65,5,1,0.7861,0,1
PNS-00154,64.11,17.43,9,0,0.7134,0,0
PNS-00155,67.57,9.4,9,1,0.8601,0,1
PNS-00156,82.14,4.53,13,1,0.7159,0,1
PNS-00157,69.04,16.76,8,1,0.8343,0,1
PNS-00158,75.86,21.57,10,1,0.9861,0,1
PNS-00159,64.01,22.14,7,1,0.8413,0,1
PNS-00160,58.52,18.13,10,1,0.7069,0,1
PNS-00161,60.28,4.38,7,1,0.7342,0,1
PNS-00162,62.2,3.08,7,0,0.8641,0,1
PNS-00163,85.03,41.0,6,0,0.7959,0,0
PNS-00164,61.43,3.16,8,1,0.9455,0,1
PNS-00165,74.71,12.17,6,1,0.7294,0,1
PNS-00166,60.78,2.77,7,1,0.9407,0,1
PNS-00167,75.45,18.74,7,1,0.7586,0,1
PNS-00168,71.08,56.78,15,1,0.8217,0,1
PNS-00169,66.75,6.99,8,1,0.8612,0,1
PNS-00170,67.67,1.01,4,1,0.9798,0,1
PNS-00171,62.76,27.5,9,1,0.9081,0,1
PNS-00172,71.57,7.85,7,1,0.9783,1,1
PNS-00173,64.36,29.07,11,1,0.7704,0,1
PNS-00174,58.2,17.72,6,1,0.8127,0,1
PNS-00175,57.78,27.52,11,1,0.7026,1,0
PNS-00176,69.38,1.35,10,1,0.7094,0,1
PNS-00177,80.63,5.32,8,0,0.7766,1,0
PNS-00178,69.28,17.56,5,1,0.624,1,0
PNS-00179,67.05,42.52,14,1,0.5607,0,1
PNS-00180,70.29,18.21,17,1,0.6629,1,0
PNS-00181,78.45,36.72,9,0,0.7013,0,0
PNS-00182,69.76,6.05,3,1,0.9411,0,1
PNS-00183,64.71,16.35,9,1,0.9723,1,1
PNS-00184,76.85,22.79,6,1,0.9518,0,1
PNS-00185,71.43,0.53,11,1,0.9565,0,1
PNS-00186,80.29,7.3,7,1,0.8565,0,1
PNS-00187,69.47,3.73,9,1,0.728,0,1
PNS-00188,58.2,8.21,8,1,0.6101,0,1
PNS-00189,57.05,10.19,7,1,0.8479,0,1
PNS-00190,81.21,6.92,3,1,0.6949,0,1
PNS-00191,81.79,11.12,7,1,0.7215,0,1
PNS-00192,66.56,11.05,10,0,0.7472,0,1
PNS-00193,64.93,30.27,7,1,0.8868,0,1
PNS-00194,79.69,34.56,11,1,0.887,0,1
PNS-00195,59.14,6.22,5,1,0.8564,0,1
PNS-00196,60.84,2.55,5,1,0.7229,0,1
PNS-00197,73.15,29.48,9,0,0.712,0,0
PNS-00198,64.84,1.44,8,1,0.7788,0,1
PNS-00199,67.96,13.11,9,1,0.9499,0,1
PNS-00200,66.69,8.24,6,0,0.6455,0,0
PNS-00201,70.7,26.01,8,0,0.7775,0,0
PNS-00202,79.26,11.92,5,1,0.8086,0,1
PNS-00203,68.72,15.47,11,1,0.584,0,1
PNS-00204,73.15,10.32,4,1,0.6846,0,1
PNS-00205,69.17,5.83,8,1,0.9734,0,1
PNS-00206,67.61,3.29,8,0,0.8581,0,1
PNS-00207,61.25,10.35,5,0,0.8739,0,0
PNS-00208,58.25,23.45,6,1,0.8478,0,1
PNS-00209,60.97,26.95,8,1,0.9414,0,1
PNS-00210,65.33,57.77,6,1,0.9019,1,0
PNS-00211,75.33,5.55,7,1,0.5598,0,1
PNS-00212,57.39,12.77,8,1,0.6284,0,1
PNS-00213,68.25,4.14,16,1,0.7236,0,1
PNS-00214,64.13,11.35,8,0,0.8679,0,1
PNS-00215,65.38,67.14,5,1,0.9163,0,1
PNS-00216,76.02,8.56,4,1,0.8718,0,1
PNS-00217,72.3,1.79,11,1,0.8568,0,1
PNS-00218,78.7,22.2,8,1,0.9264,0,1
PNS-00219,66.76,45.38,8,1,0.6318,1,0
PNS-00220,62.43,2.59,6,1,0.5455,0,1
PNS-00221,66.21,27.66,5,1,0.8473,0,1
PNS-00222,69.94,8.5,14,1,0.4195,0,1
PNS-00223,69.41,7.61,9,1,0.6149,0,1
PNS-00224,59.32,8.03,13,1,0.9601,0,1
PNS-00225,68.72,5.6,8,1,0.9443,0,1
PNS-00226,69.83,3.85,4,0,0.9476,0,0
PNS-00227,88.14,11.75,8,1,0.9228,1,1
PNS-00228,83.01,0.2,5,0,0.876,0,0
PNS-00229,61.17,6.35,8,1,0.7217,0,1
PNS-00230,65.7,6.27,11,1,0.9315,0,1
PNS-00231,56.29,2.15,7,0,0.6935,0,0
PNS-00232,63.27,12.98,10,1,0.9551,0,1
PNS-00233,70.52,4.41,12,1,0.5235,0,1
PNS-00234,77.65,24.43,11,1,0.7913,0,1
PNS-00235,62.17,4.59,6,0,0.729,1,0
PNS-00236,62.77,4.52,8,1,0.8467,0,1
PNS-00237,59.71,1.5,5,1,0.8682,0,1
PNS-00238,66.7,11.08,14,1,0.7561,0,1
PNS-00239,59.5,13.12,5,1,0.6244,0,1
PNS-00240,63.76,21.8,13,1,0.7797,0,1
PNS-00241,60.99,4.44,7,1,0.6092,0,1
PNS-00242,67.25,20.18,8,1,0.6275,0,1
PNS-00243,68.98,17.58,12,1,0.6586,0,1
PNS-00244,56.26,0.8,7,1,0.9915,0,1
PNS-00245,85.03,10.65,11,1,0.7045,0,1
PNS-00246,57.7,0.85,8,1,0.7472,0,1
PNS-00247,59.23,1.61,7,1,0.5995,0,1
PNS-00248,82.7,1.69,10,1,0.8409,0,1
PNS-00249,76.7,1.88,8,1,0.8843,0,1
PNS-00250,58.63,8.97,5,1,0.7693,0,1
PNS-00251,65.05,1.7,6,1,0.7286,0,1
PNS-00252,70.73,1.15,7,1,0.9709,0,1
PNS-00253,81.83,1.07,12,1,0.7199,0,1
PNS-00254,60.11,5.17,8,1,0.9465,0,1
PNS-00255,66.04,18.73,10,1,0.4935,0,1
PNS-00256,74.22,3.09,7,1,0.7869,0,1
PNS-00257,71.48,43.93,5,1,0.92,0,1
PNS-00258,64.99,8.7,10,1,0.7237,0,1
PNS-00259,66.93,19.55,8,1,0.5661,0,1
PNS-00260,57.0,9.47,6,1,0.8095,0,1
PNS-00261,66.09,2.36,6,1,0.9442,1,1
PNS-00262,65.87,2.52,7,1,0.6603,0,1
PNS-00263,69.86,2.61,9,1,0.9575,0,1
PNS-00264,63.56,14.01,10,1,0.5826,0,1
PNS-00265,71.77,25.68,6,0,0.8849,0,0
PNS-00266,76.1,14.73,9,1,0.7598,1,1
PNS-00267,69.24,22.9,5,1,0.651,0,1
PNS-00268,70.81,19.69,8,0,0.7757,0,0
PNS-00269,68.43,7.65,11,0,0.8901,0,1
PNS-00270,68.0,24.62,6,1,0.7003,0,1
PNS-00271,62.23,21.69,6,1,0.5108,0,1
PNS-00272,70.53,32.67,6,1,0.9365,0,1
PNS-00273,67.22,1.88,7,1,0.9353,0,1
PNS-00274,84.75,15.15,7,1,0.8122,0,1
PNS-00275,80.59,18.24,5,1,0.7282,0,1
PNS-00276,71.09,14.34,6,1,0.9548,0,1
PNS-00277,61.9,2.14,5,1,0.6588,0,1
PNS-00278,59.1,11.45,10,0,0.8864,0,1
PNS-00279,77.53,18.4,4,0,0.6158,0,0
PNS-00280,70.1,4.53,9,0,0.8256,0,1
PNS-00281,71.84,2.68,6,1,0.9409,0,1
PNS-00282,59.44,2.58,14,1,0.6571,1,1
PNS-00283,75.42,4.65,10,1,0.8196,0,1
PNS-00284,71.64,35.96,3,1,0.8792,0,1
PNS-00285,59.12,2.47,13,1,0.9286,0,1
PNS-00286,64.23,19.69,7,1,0.9115,0,1
PNS-00287,70.11,2.65,7,0,0.7548,0,0
PNS-00288,68.42,70.2,7,1,0.6841,0,1
PNS-00289,65.66,1.51,8,1,0.8868,0,1
PNS-00290,67.17,12.8,6,1,0.908,0,1
PNS-00291,65.98,26.26,6,1,0.8267,0,1
PNS-00292,69.22,5.34,5,1,0.817,0,1
PNS-00293,79.77,30.66,13,1,0.6174,0,1
PNS-00294,77.37,2.89,9,1,0.8317,0,1
PNS-00295,66.11,3.91,4,1,0.9487,0,1
PNS-00296,69.41,2.27,7,1,0.7926,0,1
PNS-00297,70.37,3.87,9,1,0.7186,0,1
PNS-00298,65.02,14.18,3,1,0.8113,0,1
PNS-00299,67.49,7.18,6,1,0.8278,0,1
PNS-00300,70.62,32.22,10,1,0.5336,0,1
PNS-00301,81.82,0.92,11,1,0.8155,0,1
PNS-00302,55.73,22.77,9,1,0.9025,0,1
PNS-00303,74.91,19.15,10,0,0.952,0,1
PNS-00304,65.37,0.14,6,1,0.9251,0,1
PNS-00305,67.51,11.98,7,0,0.7841,0,0
PNS-00306,59.58,20.25,15,1,0.7439,0,1
PNS-00307,65.32,0.05,6,1,0.5554,0,1
PNS-00308,78.4,6.18,10,1,0.6748,0,1
PNS-00309,72.66,4.55,4,1,0.8432,0,1
PNS-00310,81.86,4.66,4,1,0.764,1,0
PNS-00311,77.42,5.24,3,1,0.9721,0,1
PNS-00312,71.51,10.37,12,1,0.8007,0,1
PNS-00313,81.95,6.97,8,1,0.6923,0,1
PNS-00314,71.51,48.04,5,1,0.5912,0,1
PNS-00315,74.62,0.93,7,1,0.9395,0,1
PNS-00316,65.63,2.76,9,1,0.6534,0,1
PNS-00317,68.53,37.96,5,1,0.8839,0,1
PNS-00318,62.42,36.88,7,1,0.9072,0,1
PNS-00319,75.92,2.61,11,1,0.8479,0,1
PNS-00320,58.57,17.02,7,1,0.8216,0,1
PNS-00321,74.26,5.1,9,1,0.9676,0,1
PNS-00322,66.47,17.95,10,1,0.9658,0,1
PNS-00323,77.37,23.74,7,1,0.6819,1,0
PNS-00324,74.01,3.14,2,1,0.8344,1,0
PNS-00325,82.57,2.67,10,1,0.572,0,1
PNS-00326,73.85,7.7,8,1,0.9684,0,1
PNS-00327,55.42,7.37,11,1,0.9621,0,1
PNS-00328,67.46,0.3,14,1,0.7682,0,1
PNS-00329,58.62,29.2,9,0,0.9355,0,1
PNS-00330,63.85,9.01,10,1,0.9396,0,1
PNS-00331,80.09,10.21,10,1,0.6926,0,1
PNS-00332,73.1,7.21,3,0,0.7549,0,0
PNS-00333,62.41,11.33,7,1,0.8459,0,1
PNS-00334,59.89,10.97,7,1,0.7284,0,1
PNS-00335,68.26,24.36,2,1,0.9135,0,1
PNS-00336,58.27,32.0,7,1,0.9625,1,1
PNS-00337,62.63,13.69,7,1,0.8242,0,1
PNS-00338,70.5,21.15,9,1,0.8819,0,1
PNS-00339,77.24,0.57,9,1,0.8786,0,1
PNS-00340,72.87,10.64,12,1,0.8049,1,1
PNS-00341,64.12,5.05,9,0,0.9268,0,1
PNS-00342,70.43,0.96,8,1,0.8954,0,1
PNS-00343,68.58,21.79,9,1,0.9248,0,1
PNS-00344,71.31,1.27,10,0,0.9193,0,1
PNS-00345,80.93,2.28,7,1,0.8734,0,1
PNS-00346,69.38,17.92,9,1,0.8956,0,1
PNS-00347,63.27,11.64,8,1,0.9272,0,1
PNS-00348,72.73,45.33,12,1,0.9248,0,1
PNS-00349,55.35,8.13,8,1,0.8959,0,1
PNS-00350,79.81,0.03,2,1,0.8341,0,1
PNS-00351,70.95,113.68,9,1,0.7985,0,1
PNS-00352,74.77,0.75,9,1,0.7552,0,1
PNS-00353,63.43,0.19,7,0,0.8553,0,1
PNS-00354,74.51,14.09,12,1,0.9007,0,1
PNS-00355,76.55,5.85,9,1,0.685,0,1
PNS-00356,69.86,26.48,8,1,0.9018,0,1
PNS-00357,69.88,19.95,9,1,0.7682,1,1
PNS-00358,70.16,12.42,7,1,0.8857,0,1
PNS-00359,61.09,17.98,4,1,0.7141,0,1
PNS-00360,66.82,7.71,5,1,0.8201,0,1
PNS-00361,66.78,5.05,6,1,0.8954,0,1
PNS-00362,71.07,4.0,9,1,0.7061,0,1
PNS-00363,76.0,70.23,8,1,0.8469,0,1
PNS-00364,59.53,5.67,6,1,0.7817,0,1
PNS-00365,67.0,4.53,10,1,0.8019,0,1
PNS-00366,79.85,2.93,9,1,0.9048,0,1
PNS-00367,62.05,11.29,12,1,0.2781,0,1
PNS-00368,61.42,20.91,10,0,0.7484,0,0
PNS-00369,69.62,30.71,7,0,0.6939,1,0
PNS-00370,74.76,11.29,8,1,0.9196,0,1
PNS-00371,68.09,47.4,6,1,0.9276,0,1
PNS-00372,78.63,40.85,8,1,0.7583,0,1
PNS-00373,74.85,9.99,14,1,0.869,0,1
PNS-00374,74.73,2.84,5,1,0.8693,1,0
PNS-00375,72.43,21.7,7,1,0.8401,0,1
PNS-00376,86.62,3.28,10,0,0.8067,0,1
PNS-00377,66.36,9.71,7,1,0.7244,0,1
PNS-00378,79.34,4.45,5,1,0.9778,0,1
PNS-00379,80.83,3.65,6,0,0.8907,0,0
PNS-00380,64.34,49.56,8,1,0.9253,0,1
PNS-00381,68.86,12.76,6,1,0.6677,0,1
PNS-00382,78.48,1.33,7,1,0.7724,0,1
PNS-00383,55.18,4.72,10,1,0.7113,0,1
PNS-00384,57.99,11.09,5,0,0.6086,0,0
PNS-00385,55.19,15.32,10,1,0.8093,0,1
PNS-00386,61.65,39.44,7,1,0.8834,0,1
PNS-00387,71.52,9.24,9,1,0.977,0,1
PNS-00388,72.19,37.56,3,1,0.8346,0,1
PNS-00389,70.21,0.55,7,1,0.6779,0,1
PNS-00390,56.7,14.25,8,1,0.8496,0,1
PNS-00391,68.41,32.63,6,1,0.6668,1,0
PNS-00392,68.43,9.08,8,1,0.8204,0,1
PNS-00393,64.23,29.62,6,1,0.915,1,0
PNS-00394,71.68,0.84,11,0,0.9125,0,1
PNS-00395,73.62,15.19,7,1,0.8091,0,1
PNS-00396,69.11,22.76,10,0,0.9307,0,1
PNS-00397,74.08,26.97,8,1,0.7678,0,1
PNS-00398,69.83,28.4,5,1,0.7909,0,1
PNS-00399,72.24,43.38,8,1,0.8368,0,1
PNS-00400,62.36,3.17,3,1,0.7565,0,1
PNS-00401,66.56,24.56,10,1,0.6387,0,1
PNS-00402,69.57,20.17,8,1,0.8934,1,1
PNS-00403,74.56,9.77,11,1,0.4107,0,1
PNS-00404,64.85,21.57,10,1,0.9726,0,1
PNS-00405,72.17,53.31,6,1,0.7994,0,1
PNS-00406,65.87,9.7,9,1,0.9244,0,1
PNS-00407,67.06,6.34,8,1,0.8601,0,1
PNS-00408,74.64,6.72,9,1,0.6775,1,1
PNS-00409,59.13,34.69,8,0,0.7429,0,0
PNS-00410,57.63,16.51,7,1,0.6482,0,1
PNS-00411,56.14,1.88,10,1,0.9853,0,1
PNS-00412,71.39,31.94,12,0,0.7651,0,0
PNS-00413,62.57,2.45,8,1,0.7254,0,1
PNS-00414,74.0,14.69,6,0,0.8745,0,0
PNS-00415,65.72,4.16,10,1,0.9131,0,1
PNS-00416,69.58,38.99,13,0,0.7505,0,0
PNS-00417,76.71,11.22,8,1,0.8046,0,1
PNS-00418,78.62,10.83,7,1,0.5438,0,1
PNS-00419,67.45,4.59,8,1,0.5156,0,1
PNS-00420,78.83,4.52,11,1,0.9457,0,1
PNS-00421,68.74,31.94,11,1,0.912,1,1
PNS-00422,61.3,18.8,10,1,0.9764,0,1
PNS-00423,63.24,25.98,8,1,0.8578,0,1
PNS-00424,56.16,27.26,10,1,0.8445,0,1
PNS-00425,60.89,3.15,13,1,0.9565,0,1
PNS-00426,65.14,12.16,10,1,0.8018,0,1
PNS-00427,74.43,14.28,11,0,0.835,0,1
PNS-00428,81.77,3.84,5,1,0.8565,0,1
PNS-00429,56.94,23.03,6,1,0.6138,0,1
PNS-00430,71.14,12.96,7,1,0.9398,0,1
PNS-00431,59.68,16.69,10,1,0.6784,1,0
PNS-00432,71.8,6.25,15,1,0.7129,1,1
PNS-00433,66.95,14.48,5,1,0.9211,0,1
PNS-00434,71.27,64.41,10,1,0.872,0,1
PNS-00435,75.43,8.03,6,1,0.9858,0,1
PNS-00436,63.16,4.33,4,1,0.9209,0,1
PNS-00437,63.73,7.22,4,1,0.9052,0,1
PNS-00438,59.44,1.85,9,1,0.798,0,1
PNS-00439,62.77,25.43,4,1,0.7348,0,1
PNS-00440,71.42,16.56,5,1,0.8761,0,1
PNS-00441,66.49,20.07,11,1,0.8907,0,1
PNS-00442,70.63,2.95,13,1,0.6265,1,1
PNS-00443,70.9,1.7,8,1,0.9418,0,1
PNS-00444,78.57,6.75,8,1,0.7931,0,1
PNS-00445,65.26,26.12,6,1,0.7566,1,0
PNS-00446,56.19,28.33,9,1,0.9562,0,1
PNS-00447,76.54,15.98,5,1,0.8056,0,1
PNS-00448,65.35,17.45,7,1,0.9545,0,1
PNS-00449,76.92,57.56,9,1,0.6868,0,1
PNS-00450,71.07,15.76,9,1,0.8807,0,1
PNS-00451,66.95,1.55,8,1,0.9646,0,1
PNS-00452,70.79,13.46,8,1,0.5185,0,1
PNS-00453,83.61,16.53,10,1,0.9145,0,1
PNS-00454,84.62,19.04,7,0,0.8883,0,0
PNS-00455,68.56,6.82,3,1,0.7352,0,1
PNS-00456,69.28,25.99,5,0,0.9616,0,0
PNS-00457,76.61,1.63,9,0,0.9867,0,1
PNS-00458,61.23,5.72,11,1,0.824,0,1
PNS-00459,70.66,56.1,12,1,0.9152,1,0
PNS-00460,67.79,9.87,5,1,0.9133,0,1
PNS-00461,70.51,27.0,8,1,0.8142,0,1
PNS-00462,61.33,8.67,11,1,0.7982,1,1
PNS-00463,55.28,82.92,9,0,0.9035,0,0
PNS-00464,66.48,30.06,7,1,0.7574,0,1
PNS-00465,59.06,6.62,8,1,0.9298,0,1
PNS-00466,64.33,3.71,6,1,0.9347,0,1
PNS-00467,65.65,4.81,8,1,0.9225,0,1
PNS-00468,83.5,0.56,4,1,0.7354,0,1
PNS-00469,76.85,55.76,7,1,0.7872,0,1
PNS-00470,60.3,8.62,7,1,0.8733,0,1
PNS-00471,70.78,3.81,10,1,0.9928,0,1
PNS-00472,64.74,0.55,3,1,0.9305,0,1
PNS-00473,65.73,7.06,7,1,0.7432,0,1
PNS-00474,69.48,33.12,8,0,0.7676,0,0
PNS-00475,72.95,4.8,12,0,0.7356,0,1
PNS-00476,65.29,16.05,3,0,0.6463,0,0
PNS-00477,76.51,1.9,11,1,0.4132,0,1
PNS-00478,58.86,32.29,8,1,0.8028,0,1
PNS-00479,68.05,10.4,10,1,0.4836,0,1
PNS-00480,88.78,0.64,8,1,0.728,0,1
PNS-00481,69.78,13.39,8,1,0.9042,0,1
PNS-00482,79.47,8.2,9,1,0.8757,0,1
PNS-00483,68.73,29.87,8,1,0.7996,0,1
PNS-00484,72.65,48.9,15,1,0.6394,0,1
PNS-00485,67.55,6.1,4,1,0.9106,0,1
PNS-00486,66.64,14.09,5,1,0.6801,0,1
PNS-00487,61.76,1.43,4,1,0.8756,0,1
PNS-00488,71.44,3.55,8,0,0.8089,0,1
PNS-00489,61.19,32.16,2,1,0.8012,0,1
PNS-00490,73.32,8.94,8,1,0.6268,0,1
PNS-00491,76.68,12.5,9,1,0.893,0,1
PNS-00492,70.93,16.28,9,1,0.6013,0,1
PNS-00493,65.71,32.14,10,1,0.6604,0,1
PNS-00494,71.63,12.98,4,1,0.6408,0,1
PNS-00495,65.53,2.51,7,1,0.872,0,1
PNS-00496,75.48,25.6,10,1,0.915,0,1
PNS-00497,76.17,6.58,6,1,0.862,0,1
